state,metric,rank_29th,rank_30th,rank_change,movement
Maryland,rural_fatalities_per_100m_vmt_score,1,NA,NA,missing
Massachusetts,rural_fatalities_per_100m_vmt_score,2,NA,NA,missing
Michigan,rural_fatalities_per_100m_vmt_score,7,NA,NA,missing
Minnesota,rural_fatalities_per_100m_vmt_score,5,NA,NA,missing
Mississippi,rural_fatalities_per_100m_vmt_score,37,NA,NA,missing
Missouri,rural_fatalities_per_100m_vmt_score,15,NA,NA,missing
Montana,rural_fatalities_per_100m_vmt_score,43,NA,NA,missing
Nebraska,rural_fatalities_per_100m_vmt_score,13,NA,NA,missing
Nevada,rural_fatalities_per_100m_vmt_score,40,NA,NA,missing
New Hampshire,rural_fatalities_per_100m_vmt_score,9,NA,NA,missing
New Jersey,rural_fatalities_per_100m_vmt_score,16,NA,NA,missing
New Mexico,rural_fatalities_per_100m_vmt_score,38,NA,NA,missing
New York,rural_fatalities_per_100m_vmt_score,12,NA,NA,missing
North Carolina,rural_fatalities_per_100m_vmt_score,31,NA,NA,missing
North Dakota,rural_fatalities_per_100m_vmt_score,26,NA,NA,missing
Ohio,rural_fatalities_per_100m_vmt_score,6,NA,NA,missing
Oklahoma,rural_fatalities_per_100m_vmt_score,24,NA,NA,missing
Oregon,rural_fatalities_per_100m_vmt_score,47,NA,NA,missing
Pennsylvania,rural_fatalities_per_100m_vmt_score,8,NA,NA,missing
Rhode Island,rural_fatalities_per_100m_vmt_score,4,NA,NA,missing
South Carolina,rural_fatalities_per_100m_vmt_score,49,NA,NA,missing
South Dakota,rural_fatalities_per_100m_vmt_score,19,NA,NA,missing
Tennessee,rural_fatalities_per_100m_vmt_score,20,NA,NA,missing
Texas,rural_fatalities_per_100m_vmt_score,42,NA,NA,missing
Utah,rural_fatalities_per_100m_vmt_score,22,NA,NA,missing
Vermont,rural_fatalities_per_100m_vmt_score,10,NA,NA,missing
Virginia,rural_fatalities_per_100m_vmt_score,29,NA,NA,missing
Washington,rural_fatalities_per_100m_vmt_score,34,NA,NA,missing
West Virginia,rural_fatalities_per_100m_vmt_score,30,NA,NA,missing
Wisconsin,rural_fatalities_per_100m_vmt_score,14,NA,NA,missing
Wyoming,rural_fatalities_per_100m_vmt_score,46,NA,NA,missing
Montana,rural_interstate_poor_percent_score,29,17,-12,moved up
Kentucky,rural_interstate_poor_percent_score,24,14,-10,moved up
Massachusetts,rural_interstate_poor_percent_score,36,31,-5,moved up
Rhode Island,rural_interstate_poor_percent_score,6,1,-5,moved up
Arkansas,rural_interstate_poor_percent_score,40,36,-4,moved up
Idaho,rural_interstate_poor_percent_score,22,18,-4,moved up
Nevada,rural_interstate_poor_percent_score,10,6,-4,moved up
New York,rural_interstate_poor_percent_score,37,33,-4,moved up
South Carolina,rural_interstate_poor_percent_score,28,24,-4,moved up
Arizona,rural_interstate_poor_percent_score,45,42,-3,moved up
Oregon,rural_interstate_poor_percent_score,15,12,-3,moved up
Alabama,rural_interstate_poor_percent_score,32,30,-2,moved up
California,rural_interstate_poor_percent_score,47,45,-2,moved up
Kansas,rural_interstate_poor_percent_score,13,11,-2,moved up
Maryland,rural_interstate_poor_percent_score,30,28,-2,moved up
New Hampshire,rural_interstate_poor_percent_score,5,3,-2,moved up
Pennsylvania,rural_interstate_poor_percent_score,41,39,-2,moved up
Texas,rural_interstate_poor_percent_score,21,19,-2,moved up
Vermont,rural_interstate_poor_percent_score,18,16,-2,moved up
Wyoming,rural_interstate_poor_percent_score,27,25,-2,moved up
Georgia,rural_interstate_poor_percent_score,16,15,-1,moved up
Louisiana,rural_interstate_poor_percent_score,44,43,-1,moved up
Minnesota,rural_interstate_poor_percent_score,9,8,-1,moved up
Tennessee,rural_interstate_poor_percent_score,14,13,-1,moved up
Alaska,rural_interstate_poor_percent_score,48,49,1,moved down
Connecticut,rural_interstate_poor_percent_score,1,2,1,moved down
Maine,rural_interstate_poor_percent_score,3,4,1,moved down
Michigan,rural_interstate_poor_percent_score,39,40,1,moved down
Ohio,rural_interstate_poor_percent_score,19,20,1,moved down
